"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"5001600US1502","Congressional District 2 (116th Congress), Hawaii","711300","2925"
"5001600US1601","Congressional District 1 (116th Congress), Idaho","888809","2068"
"5001600US1602","Congressional District 2 (116th Congress), Idaho","828941","2068"
"5001600US1701","Congressional District 1 (116th Congress), Illinois","704031","5185"
"5001600US1702","Congressional District 2 (116th Congress), Illinois","698741","3823"
"5001600US1703","Congressional District 3 (116th Congress), Illinois","716449","4045"
"5001600US1704","Congressional District 4 (116th Congress), Illinois","692435","5104"
"5001600US1705","Congressional District 5 (116th Congress), Illinois","740867","4382"
"5001600US1706","Congressional District 6 (116th Congress), Illinois","724005","3225"
"5001600US1707","Congressional District 7 (116th Congress), Illinois","720978","5201"
"5001600US1708","Congressional District 8 (116th Congress), Illinois","711775","3299"
"5001600US1709","Congressional District 9 (116th Congress), Illinois","724839","4321"
"5001600US1710","Congressional District 10 (116th Congress), Illinois","710717","2521"
"5001600US1711","Congressional District 11 (116th Congress), Illinois","723342","2557"
"5001600US1712","Congressional District 12 (116th Congress), Illinois","693580","92"
"5001600US1713","Congressional District 13 (116th Congress), Illinois","701843","2314"
"5001600US1714","Congressional District 14 (116th Congress), Illinois","734105","2577"
"5001600US1715","Congressional District 15 (116th Congress), Illinois","691765","1184"
"5001600US1716","Congressional District 16 (116th Congress), Illinois","694781","1542"
"5001600US1717","Congressional District 17 (116th Congress), Illinois","681131","1990"
"5001600US1718","Congressional District 18 (116th Congress), Illinois","705247","2352"
"5001600US17ZZ","Congressional Districts not defined (116th Congress), Illinois","null","null"
"5001600US1801","Congressional District 1 (116th Congress), Indiana","714677","409"
"5001600US1802","Congressional District 2 (116th Congress), Indiana","724054","575"
"5001600US1803","Congressional District 3 (116th Congress), Indiana","743000","464"
"5001600US1804","Congressional District 4 (116th Congress), Indiana","756185","790"
"5001600US1805","Congressional District 5 (116th Congress), Indiana","775550","2558"
"5001600US1806","Congressional District 6 (116th Congress), Indiana","719099","399"
"5001600US1807","Congressional District 7 (116th Congress), Indiana","760897","2515"
"5001600US1808","Congressional District 8 (116th Congress), Indiana","719002","295"
"5001600US1809","Congressional District 9 (116th Congress), Indiana","753239","647"
"5001600US1901","Congressional District 1 (116th Congress), Iowa","772352","*****"
"5001600US1902","Congressional District 2 (116th Congress), Iowa","780574","*****"
"5001600US1903","Congressional District 3 (116th Congress), Iowa","831497","*****"
"5001600US1904","Congressional District 4 (116th Congress), Iowa","755085","*****"
"5001600US2001","Congressional District 1 (116th Congress), Kansas","703509","206"
"5001600US2002","Congressional District 2 (116th Congress), Kansas","715046","559"
"5001600US2003","Congressional District 3 (116th Congress), Kansas","768619","494"
"5001600US2004","Congressional District 4 (116th Congress), Kansas","723478","86"
"5001600US2101","Congressional District 1 (116th Congress), Kentucky","718563","169"
"5001600US2102","Congressional District 2 (116th Congress), Kentucky","758608","848"
"5001600US2103","Congressional District 3 (116th Congress), Kentucky","744534","730"
"5001600US2104","Congressional District 4 (116th Congress), Kentucky","758440","1144"
"5001600US2105","Congressional District 5 (116th Congress), Kentucky","697180","739"
"5001600US2106","Congressional District 6 (116th Congress), Kentucky","771727","719"
"5001600US2201","Congressional District 1 (116th Congress), Louisiana","805517","3497"
"5001600US2202","Congressional District 2 (116th Congress), Louisiana","790750","4215"
"5001600US2203","Congressional District 3 (116th Congress), Louisiana","784883","773"
"5001600US2204","Congressional District 4 (116th Congress), Louisiana","748317","1201"
"5001600US2205","Congressional District 5 (116th Congress), Louisiana","744080","2455"
"5001600US2206","Congressional District 6 (116th Congress), Louisiana","790815","4088"
"5001600US2301","Congressional District 1 (116th Congress), Maine","681859","273"
"5001600US2302","Congressional District 2 (116th Congress), Maine","653633","273"
"5001600US2401","Congressional District 1 (116th Congress), Maryland","732773","1964"
"5001600US2402","Congressional District 2 (116th Congress), Maryland","764509","4694"
"5001600US2403","Congressional District 3 (116th Congress), Maryland","757053","4887"
"5001600US2404","Congressional District 4 (116th Congress), Maryland","752243","3437"
"5001600US2405","Congressional District 5 (116th Congress), Maryland","762356","3251"
"5001600US2406","Congressional District 6 (116th Congress), Maryland","768933","3403"
"5001600US2407","Congressional District 7 (116th Congress), Maryland","718530","3905"
"5001600US2408","Congressional District 8 (116th Congress), Maryland","762451","3708"
"5001600US2501","Congressional District 1 (116th Congress), Massachusetts","728716","378"
"5001600US2502","Congressional District 2 (116th Congress), Massachusetts","748728","810"
"5001600US2503","Congressional District 3 (116th Congress), Massachusetts","766238","742"
"5001600US2504","Congressional District 4 (116th Congress), Massachusetts","757680","1549"
"5001600US2505","Congressional District 5 (116th Congress), Massachusetts","768212","1258"
"5001600US2506","Congressional District 6 (116th Congress), Massachusetts","770005","525"
"5001600US2507","Congressional District 7 (116th Congress), Massachusetts","802775","3309"
"5001600US2508","Congressional District 8 (116th Congress), Massachusetts","767105","3031"
"5001600US2509","Congressional District 9 (116th Congress), Massachusetts","741094","1076"
"5001600US2601","Congressional District 1 (116th Congress), Michigan","698033","301"
"5001600US2602","Congressional District 2 (116th Congress), Michigan","739228","526"
"5001600US2603","Congressional District 3 (116th Congress), Michigan","742923","121"
"5001600US2604","Congressional District 4 (116th Congress), Michigan","701512","729"
"5001600US2605","Congressional District 5 (116th Congress), Michigan","676131","830"
"5001600US2606","Congressional District 6 (116th Congress), Michigan","717930","449"
"5001600US2607","Congressional District 7 (116th Congress), Michigan","705993","437"
"5001600US2608","Congressional District 8 (116th Congress), Michigan","739522","454"
"5001600US2609","Congressional District 9 (116th Congress), Michigan","717778","825"
"5001600US2610","Congressional District 10 (116th Congress), Michigan","718572","907"
"5001600US2611","Congressional District 11 (116th Congress), Michigan","730595","745"
"5001600US2612","Congressional District 12 (116th Congress), Michigan","710371","734"
"5001600US2613","Congressional District 13 (116th Congress), Michigan","675497","3477"
"5001600US2614","Congressional District 14 (116th Congress), Michigan","691180","3348"
"5001600US26ZZ","Congressional Districts not defined (116th Congress), Michigan","null","null"
"5001600US2701","Congressional District 1 (116th Congress), Minnesota","675187","304"
"5001600US2702","Congressional District 2 (116th Congress), Minnesota","703966","424"
"5001600US2703","Congressional District 3 (116th Congress), Minnesota","716887","498"
"5001600US2704","Congressional District 4 (116th Congress), Minnesota","711057","357"
"5001600US2705","Congressional District 5 (116th Congress), Minnesota","712914","456"
"5001600US2706","Congressional District 6 (116th Congress), Minnesota","710595","484"
"5001600US2707","Congressional District 7 (116th Congress), Minnesota","666100","493"
"5001600US2708","Congressional District 8 (116th Congress), Minnesota","666672","312"
"5001600US2801","Congressional District 1 (116th Congress), Mississippi","762562","610"
"5001600US2802","Congressional District 2 (116th Congress), Mississippi","703564","1645"
"5001600US2803","Congressional District 3 (116th Congress), Mississippi","748578","1771"
"5001600US2804","Congressional District 4 (116th Congress), Mississippi","769714","387"
"5001600US2901","Congressional District 1 (116th Congress), Missouri","727393","2482"
"5001600US2902","Congressional District 2 (116th Congress), Missouri","764022","3570"
"5001600US2903","Congressional District 3 (116th Congress), Missouri","788763","3129"
"5001600US2904","Congressional District 4 (116th Congress), Missouri","767364","1189"
"5001600US2905","Congressional District 5 (116th Congress), Missouri","768223","2180"
"5001600US2906","Congressional District 6 (116th Congress), Missouri","772869","2225"
"5001600US2907","Congressional District 7 (116th Congress), Missouri","777375","602"
"5001600US2908","Congressional District 8 (116th Congress), Missouri","738901","1533"
"5001600US3000","Congressional District (at Large) (116th Congress), Montana","1050649","*****"
"5001600US3101","Congressional District 1 (116th Congress), Nebraska","644886","868"
"5001600US3102","Congressional District 2 (116th Congress), Nebraska","668413","871"
"5001600US3103","Congressional District 3 (116th Congress), Nebraska","601272","90"
"5001600US3201","Congressional District 1 (116th Congress), Nevada","692355","5080"
"5001600US3202","Congressional District 2 (116th Congress), Nevada","716367","623"
"5001600US3203","Congressional District 3 (116th Congress), Nevada","811145","4114"
"5001600US3204","Congressional District 4 (116th Congress), Nevada","752515","3748"
"5001600US3301","Congressional District 1 (116th Congress), New Hampshire","680153","183"
"5001600US3302","Congressional District 2 (116th Congress), New Hampshire","667971","183"
"5001600US3401","Congressional District 1 (116th Congress), New Jersey","725599","366"
"5001600US3402","Congressional District 2 (116th Congress), New Jersey","714910","830"
"5001600US3403","Congressional District 3 (116th Congress), New Jersey","737334","982"
"5001600US3404","Congressional District 4 (116th Congress), New Jersey","740712","844"
"5001600US3405","Congressional District 5 (116th Congress), New Jersey","736353","764"
"5001600US3406","Congressional District 6 (116th Congress), New Jersey","733994","1022"
"5001600US3407","Congressional District 7 (116th Congress), New Jersey","739089","1104"
"5001600US3408","Congressional District 8 (116th Congress), New Jersey","762459","3146"
"5001600US3409","Congressional District 9 (116th Congress), New Jersey","752451","1099"
"5001600US3410","Congressional District 10 (116th Congress), New Jersey","751853","3154"
"5001600US3411","Congressional District 11 (116th Congress), New Jersey","735094","1201"
"5001600US3412","Congressional District 12 (116th Congress), New Jersey","748655","790"
"5001600US3501","Congressional District 1 (116th Congress), New Mexico","695715","2240"
"5001600US3502","Congressional District 2 (116th Congress), New Mexico","700115","1590"
"5001600US3503","Congressional District 3 (116th Congress), New Mexico","696624","2042"
"5001600US3601","Congressional District 1 (116th Congress), New York","716532","1262"
"5001600US3602","Congressional District 2 (116th Congress), New York","711836","2332"
"5001600US3603","Congressional District 3 (116th Congress), New York","727151","2667"
"5001600US3604","Congressional District 4 (116th Congress), New York","723357","2806"
"5001600US3605","Congressional District 5 (116th Congress), New York","771094","5640"
"5001600US3606","Congressional District 6 (116th Congress), New York","729469","4925"
"5001600US3607","Congressional District 7 (116th Congress), New York","730822","6104"
"5001600US3608","Congressional District 8 (116th Congress), New York","772576","6071"
"5001600US3609","Congressional District 9 (116th Congress), New York","726825","5401"
"5001600US3610","Congressional District 10 (116th Congress), New York","731480","5498"
"5001600US3611","Congressional District 11 (116th Congress), New York","730637","3302"
"5001600US3612","Congressional District 12 (116th Congress), New York","721821","5803"
"5001600US3613","Congressional District 13 (116th Congress), New York","767710","6371"
"5001600US3614","Congressional District 14 (116th Congress), New York","694613","6120"
"5001600US3615","Congressional District 15 (116th Congress), New York","744473","5246"
"5001600US3616","Congressional District 16 (116th Congress), New York","744267","4236"
"5001600US3617","Congressional District 17 (116th Congress), New York","739314","793"
"5001600US3618","Congressional District 18 (116th Congress), New York","722792","823"
"5001600US3619","Congressional District 19 (116th Congress), New York","698759","879"
"5001600US3620","Congressional District 20 (116th Congress), New York","725988","961"
"5001600US3621","Congressional District 21 (116th Congress), New York","703073","627"
"5001600US3622","Congressional District 22 (116th Congress), New York","696141","613"
"5001600US3623","Congressional District 23 (116th Congress), New York","695215","417"
"5001600US3624","Congressional District 24 (116th Congress), New York","704757","184"
"5001600US3625","Congressional District 25 (116th Congress), New York","716736","164"
"5001600US3626","Congressional District 26 (116th Congress), New York","709541","657"
"5001600US3627","Congressional District 27 (116th Congress), New York","715340","712"
"5001600US3701","Congressional District 1 (116th Congress), North Carolina","755156","2619"
"5001600US3702","Congressional District 2 (116th Congress), North Carolina","840465","3609"
"5001600US3703","Congressional District 3 (116th Congress), North Carolina","756531","1806"
"5001600US3704","Congressional District 4 (116th Congress), North Carolina","857571","2873"
"5001600US3705","Congressional District 5 (116th Congress), North Carolina","756559","826"
"5001600US3706","Congressional District 6 (116th Congress), North Carolina","768774","2360"
"5001600US3707","Congressional District 7 (116th Congress), North Carolina","795777","1876"
"5001600US3708","Congressional District 8 (116th Congress), North Carolina","788902","1795"
"5001600US3709","Congressional District 9 (116th Congress), North Carolina","783780","2864"
"5001600US3710","Congressional District 10 (116th Congress), North Carolina","760336","2061"
"5001600US3711","Congressional District 11 (116th Congress), North Carolina","758083","1628"
"5001600US3712","Congressional District 12 (116th Congress), North Carolina","865614","2258"
"5001600US3713","Congressional District 13 (116th Congress), North Carolina","777328","2671"
"5001600US3800","Congressional District (at Large) (116th Congress), North Dakota","756717","*****"
"5001600US3901","Congressional District 1 (116th Congress), Ohio","742004","1997"
"5001600US3902","Congressional District 2 (116th Congress), Ohio","728713","2234"
"5001600US3903","Congressional District 3 (116th Congress), Ohio","790144","3147"
"5001600US3904","Congressional District 4 (116th Congress), Ohio","710991","950"
"5001600US3905","Congressional District 5 (116th Congress), Ohio","722911","1442"
"5001600US3906","Congressional District 6 (116th Congress), Ohio","696108","901"
"5001600US3907","Congressional District 7 (116th Congress), Ohio","727518","1571"
"5001600US3908","Congressional District 8 (116th Congress), Ohio","729572","320"
"5001600US3909","Congressional District 9 (116th Congress), Ohio","706921","2391"
"5001600US3910","Congressional District 10 (116th Congress), Ohio","722027","350"
"5001600US3911","Congressional District 11 (116th Congress), Ohio","689571","2774"
"5001600US3912","Congressional District 12 (116th Congress), Ohio","781470","2529"
"5001600US3913","Congressional District 13 (116th Congress), Ohio","708540","2212"
"5001600US3914","Congressional District 14 (116th Congress), Ohio","716938","815"
"5001600US3915","Congressional District 15 (116th Congress), Ohio","761678","2727"
